,L,D,*,/,=,<, ,{,},|,;,+,-,>,(,),other
0,5,3,2,7,11,14,0,17,18,19,20,21,22,23,26,27,1
1,Error,,,,,,,,,,,,,,,,
2, <mop>,,,,,,,,,,,,,,,,
3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
4,<int>,,,,,,,,,,,,,,,,
5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
6,<var>,,,,,,,,,,,,,,,,
7,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,
8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,
9,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,
10,<mop>,,,,,,,,,,,,,,,,
11,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,
12,<assignment>,,,,,,,,,,,,,,,,
13,<relop>,,,,,,,,,,,,,,,,
14,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,
15,<relop>,,,,,,,,,,,,,,,,
16,<relop>,,,,,,,,,,,,,,,,
17,<lb>,,,,,,,,,,,,,,,,
18,<rb>,,,,,,,,,,,,,,,,
19,<comma>,,,,,,,,,,,,,,,,
20,<semi>,,,,,,,,,,,,,,,,
21,<adop>,,,,,,,,,,,,,,,,
22,<adop>,,,,,,,,,,,,,,,,
23,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,
24,<relop>,,,,,,,,,,,,,,,,
25,<relop>,,,,,,,,,,,,,,,,
26,<lp>,,,,,,,,,,,,,,,,
27,<rp>,,,,,,,,,,,,,,,,
